Ligand,Docking_Score
NPC87378_out,-8.0
NPC87794_out,-9.1
NPC88459_out,-8.6
NPC89225_out,-11.2
NPC91785_out,-9.4
NPC92164_out,-8.7
NPC93094_out,-9.3
NPC95024_out,-8.1
NPC96359_out,-9.3
NPC97326_out,-8.0
NPC97931_out,-8.7
NPC98652_out,-10.0
NPC99094_out,-9.5
Obtusifoliol_out,-9.2
Olean-12-en-28-oic_acid_out,-9.7
Oleanolic_acid3-acetate_out,-9.2
p-Coumaroylquinic_acid_out,-8.9
penicipene b_out,-8.3
Phenothrin_out,-9.0
Pinoresinol_out,-9.4
propan-2-yl 2-methylbut-2-enoate_out,-8.6
Rhapontigenin_out,-8.2
"S,E-Zearalenone_out",-10.7
Sasanquol_out,-8.0
Scb3_out,-8.1
Schisanhenol_out,-8.1
Sinensetin_out,-10.3
Sonchuside_C_out,-9.5
srb-2_out,-8.1
Stevenin_out,-8.7
Stigmasterol_out,-9.9
STL526984_out,-8.4
Syringaresinol_out,-9.0
thalianol_out,-9.1
Todolactol A_out,-9.1
Tryptophylaspartic_acid_out,-8.1
Tryptophylphenylalanine_out,-9.0
Tryptophyltryptophan_out,-9.9
ZINC000014727626_out,-8.1
ZINC000014780686_out,-8.3
ZINC000014780926_out,-9.3
ZINC000014780940Isolupabigenin_out,-9.0
ZINC000015120682_out,-8.8
ZINC000085945801_out,-10.5
ZINC002356528865_out,-9.5
ZINC124940157a-Hydroxy-3-Oxo-5b-Cholanoate_out,-10.0
"ZINC12496693-7a,17-Dimethyl-5b-Androstane-3a,17b-Diol_out",-8.7
ZINC13508125Persicarin_out,-9.1
ZINC13558220Oleanonic_Acid_out,-10.1
ZINC1530160_out,-8.5
ZINC1614080_out,-8.0
ZINC223074517_out,-8.5
ZINC2356582890_out,-10.1
ZINC4097019Tetrahymanol_out,-8.9
ZINC473094057_out,-8.8
ZINC5758832-7-Hydroxycholesterol_out,-9.4
ZINC59200506_out,-8.2
"ZINC6036327-7-A,25-Dihydroxycholesterol_out",-10.1
ZINC8762246_out,-11.0
ZINC8829484CorosolicAcid_out,-10.4
"[2,5-dimethoxy-4-(propan-2-yl)phenyl]methanol_out",-8.1
[4]-Gingerdiol_out,-8.0
